Institution,Contact,Collection Title,Archive-it Collection (if applicable),How are you organizing it in Archive-it?,Webrecorder Collection (if applicable),Other web archiving,Scope,Other people associated with work,Other links,
American Medical Association,Jorie Braunold,,,,,not started web archiving yet,"collecting materials (emails, agendas, etc.) created and about our organization",,,
Amistad Research Center,Hsiu-Ann Tom,Documenting Covid-19 Project @ Amistad Research Center,,,,,"The Documenting COVID-19 Project is a digital archive that will preserve and provide freely available access to community-generated original content created in the wake of the 2020 global coronavirus outbreak. The goal of this initiative is to document diverse perspectives of these events as experienced by citizens around the world, and to create a resource for educators, researchers, students and the public.",,https://www.amistadresearchcenter.org/post/center-launches-documenting-covid-19-project,
Arizona State Archives,Laura Keller,,,,,,,,,
ART | library deco,kYmberly Keeton,BLACK COVID-19 INDEX,,,,https://tinyurl.com/blackcovid19,"This platform has been created for people of color to share their experiences during the COVID-19 - Coronavirus Pandemic. Selected data, stories, images, audio and videos will be published via an online African American digital art library. These works will be published in our digital-scholar journal, and all submissions will be archived in our online repository in 2021.",,,
Birmingham Public Library,Melinda Shelton,Covid-19 Birmingham Metro Area,https://www.archive-it.org/collections/13949,Separate Archive-it Collection,,,Birmingham metropolitan area covering the cities in Jefferson County.,,,
Brooklyn Public Library,Diana Bowers-Smith,"Brooklyn Collection, Brooklyn Public Library",https://archive-it.org/home/brooklyncollection,Part of institutional collection (not grouped),,,"Brooklyn politicians' websites and Twitter feeds, and Brooklyn Public Library's COVID-19 resources page and Twitter feeds.",,,
Brown University Library,Andrew Majcher,COVID-19,https://archive-it.org/collections/13673,Separate Archive-it Collection,,,Covid-19 web content relating to Brown University and Rhode Island.,,,
Carl Albert Center,JA Pryse, Carl Albert Center's COVID-19/Coronavirus Digital Collection,,,https://webrecorder.io/CACCOVID,utilizing own web archiving system to collect daily scrapes,"Created to document the announcements, policies, and response from the Cleveland County, The City of Norman (COVID-19), the Oklahoma State Department of Health COVID-19 Website, The University of Oklahoma Coronavirus/COVID-19 Updates and Resource Website, both State and City of Norman video reports, and all proclamations, newsletters, and emails that we can collect. Additionly, the Center is collecting Twitter data multiple times a day from: City of Norman's Mayor Breea Clark, City of Norman Official Account, the State Department of Health, State of Oklahoma Governor Kevin Stitt, and Congresswoman Kendra Horn.",,https://caccovid19.omeka.net/,
Chatham University,Molly Tighe,Chatham University COVID-19 Response Collection,https://archive-it.org/collections/13681,Separate Archive-it Collection,,,Focus on ChathamU response and local media mentions of ChathamU response.,,,
Claude Moore Health Sciences Library at the University of Virginia,Dan Cavanaugh,COVID-19 Archives,,,,"currently using webrecorder and wget, with potential for some Archive-It collection in future phases","Focused on collecting web archives around the pandemic of the University of Virginia, the Charlottesville/Albemarle region, and the wider Commonwealth of Virginia",Emily Bowden and Lauren Work,"https://bit.ly/WRwebarch
",
