collection,collected.by,archived.since,description,subject,creator,publisher,type,date,collector,language,extra
 COVID-19 Australia , State Library of New South Wales  ,2020-03,"
A collection of Australian sites that included a COVID-19 message or advice.",,NA,NA,NA,NA,NA,NA,NA
 Coronavirus Covid-19 resources , John Gilmore ,2020-03,"
Covid-19 pandemic resources",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 , Rutgers University ,2020-11,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Carnegie Mellon University ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 THF COVID , The Henry Ford ,2020-06,NA,,NA,NA,NA,NA,NA,NA,NA
 WPL COVID , Worcester Public Library ,2021-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 , Everett Public Library ,2021-06,NA,,NA,NA,NA,NA,NA,NA,NA
 Creighton: Covid-19 , Creighton University ,2020-05,"
Capturing web-content related to Creighton University's response to the Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Henderson District Public Libraries ,2020-06,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Information , Georgetown University ,2022-03,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID19 , County of Santa Clara ,2024-06,NA,,NA,NA,NA,NA,NA,NA,NA
 BSU-COVID-19 Collection , Bridgewater State University ,2021-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 Oral History Journal , Phillips Academy ,2021-02,"
Video interviews by students with students about their experiences during the covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 ," Baylor University, The Texas Collection ",2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 City of LA COVID , UCLA ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Kansas COVID-19 , Kansas Historical Society  ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 , Museum of Lennox and Addington ,2023-02,NA,,NA,NA,NA,NA,NA,NA,NA
 RI COVID Archive , Providence Public Library ,2023-06,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 - China , University of California Berkeley ,2020-04,"
This archive includes government documents, statistics, personal stories and other materials related to COVID-19 in China.",,NA,NA,NA,NA,NA,NA,NA
 UCD Covid 2021 , University College Dublin ,2021-10,"
University College Dublin  Covid 19",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Outbreak , Kansas City Public Library ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Libraries and Covid-19 , Raven Germain ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Tracey Lauriault - COVID-19 , Carleton University ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 UNB Covid-19 , University of New Brunswick ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Productivity During Covid-19 , Tabish Shaikh's ,2020-07,NA,,NA,NA,NA,NA,NA,NA,NA
 GC Covid , Georgia College ,2020-08,NA,,NA,NA,NA,NA,NA,NA,NA
 covid.yale.edu , Yale School of Medicine ,2021-03,NA,,NA,NA,NA,NA,NA,NA,NA
 SC Covid19 Response , Sierra Club ,2021-10,NA,,NA,NA,NA,NA,NA,NA,NA
 Champlain College COVID-19 , Champlain College ,2023-06,NA,,NA,NA,NA,NA,NA,NA,NA
 Williams Covid-19 Experience Project: Cynthia Adina Kirkwood '76 Covid-19 Blog , Williams College ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response: JTS Affiliate Organizations , Jewish Theological Seminary  ,2020-10,"
This collection documents COVID-related webpages on the Jewish Theological Seminary's affiliate organization websites. These organizations include the United Synagogue of Conservative Judaism, the Rabbinical Assembly, and Camp Ramah.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , New Brunswick Free Public Library ,2020-04,"
This collection focuses on how the COVID-19 virus effected New Brunswick starting in March 2020.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic: Berea College Response , Berea College ,2021-10,NA,,NA,NA,NA,NA,NA,NA,NA
