County,Country
Bedfordshire,England
Berkshire,England
Bristol,England
Buckinghamshire,England
Cambridgeshire,England
Cheshire,England
Cornwall,England
County Durham,England
Cumbria,England
Derbyshire,England
Devon,England
Dorset,England
East Riding of Yorkshire,England
East Sussex,England
Essex,England
Gloucestershire,England
Greater London,England
Greater Manchester,England
Hampshire,England
Herefordshire,England
Hertfordshire,England
Isle of Wight,England
Kent,England
Lancashire,England
Leicestershire,England
Lincolnshire,England
Merseyside,England
Norfolk,England
North Somerset,England
North Yorkshire,England
Northamptonshire,England
Northumberland,England
Nottinghamshire,England
Oxfordshire,England
Rutland,England
Shropshire,England
Somerset,England
South Gloucestershire,England
South Yorkshire,England
Staffordshire,England
Suffolk,England
Surrey,England
Tyne & Wear,England
Warwickshire,England
West Midlands,England
West Sussex,England
West Yorkshire,England
Wiltshire,England
Worcestershire,England
Aberdeenshire,Scotland
Angus,Scotland
Argyll & Bute,Scotland
Ayrshire,Scotland
Banffshire,Scotland
Berwickshire,Scotland
Borders,Scotland
Caithness,Scotland
Clackmannanshire,Scotland
Dumfries & Galloway,Scotland
Dunbartonshire,Scotland
East Ayrshire,Scotland
East Dunbartonshire,Scotland
East Lothian,Scotland
East Renfrewshire,Scotland
Fife,Scotland
Highland,Scotland
Inverclyde,Scotland
Kincardineshire,Scotland
Midlothian,Scotland
Moray,Scotland
North Ayrshire,Scotland
North Lanarkshire,Scotland
Orkney,Scotland
Perth & KInross,Scotland
Renfrewshire,Scotland
Shetland,Scotland
South Ayrshire,Scotland
South Lanarkshire,Scotland
Stirlingshire,Scotland
West Dunbartonshire,Scotland
West Lothian,Scotland
Western Isles,Scotland
Blaenau Gwent,Wales
Bridgend,Wales
Caerphilly,Wales
Cardiff,Wales
Carmarthenshire,Wales
Ceredigion,Wales
Conwy,Wales
Denbighshire,Wales
Flintshire,Wales
Gwynedd,Wales
Isle of Anglesey,Wales
Merthyr Tydfil,Wales
Monmouthshire,Wales
Neath Port Talbot,Wales
Newport,Wales
Pembrokeshire,Wales
Powys,Wales
Rhondda Cynon Taff,Wales
Swansea,Wales
Torfaen,Wales
Vale of Glamorgan,Wales
Wrexham,Wales
Antrim,Northern Ireland
Armagh,Northern Ireland
Down,Northern Ireland
Fermanagh,Northern Ireland
Londonderry,Northern Ireland
Tyrone,Northern Ireland
