"","subjects","count"
"1","COVID-19 (Disease)",19
"2","COVID-19",11
"3","COVID-19 Pandemic",10
"4","2020-",9
"5","Epidemics",7
"6","Coronavirus infections",6
"7","Coronavirus",5
"8","Covid-19",5
"9","COVID-19 (Disease)--Government policy",3
"10","Pandemic",3
"11","2019 Novel Coronavirus Disease",2
"12","COVID-19 (Disease)--Michigan",2
"13","Communicable diseases--Michigan",2
"14","Coronavirus Infections",2
"15","Covid-19 (Disease)",2
"16","Epidemics--Michigan",2
"17","Novel Coronavirus (Covid-19)",2
"18","Novel Coronavirus 19",2
"19","Pandemics",2
"20","Small business",2
"21","Agricultural laborers",1
"22","Agriculture",1
"23","Alamance County (N.C.)",1
"24","Architecture",1
"25","Asheboro (N.C.)",1
"26","Bentonville (Ark.)",1
"27","Burlington (N.C.)",1
"28","COVID-19 (Disease)--California--Berkeley",1
"29","COVID-19 (Disease)--Newfoundland and Labrador",1
"30","Chatham University--Archives",1
"31","College students--United States--Conduct of life",1
"32","College students--United States--Diaries",1
"33","Commencement",1
"34","Communicable diseases",1
"35","Community gardens -- Pennsylvania -- Philadelphia",1
"36","Coronavirus disease (COVID-19)",1
"37","Coronavirus diseases",1
"38","Coronavirus infections -- Social aspects -- United States -- Kentucky",1
"39","Coronaviruses",1
"40","Covid-19 pandemic resources",1
"41","Covid-19; coronovirus; news",1
"42","Davidson County (N.C.)",1
"43","Davie County (N.C.)",1
"44","Design",1
"45","Disease Outbreaks",1
"46","Ebola virus disease",1
"47","Education - Virginia.",1
"48","Ellis County",1
"49","Exchange of persons programs",1
"50","Fayetteville (Ark.)",1
"51","Florida",1
"52","Forsyth County (N.C.)",1
"53","Global events",1
"54","Government - Cities",1
"55","Government - Counties",1
"56","Grand Rapids (Mich.)",1
"57","Greensboro (N.C.)",1
"58","Guilford County (N.C.)",1
"59","Harvard Business School",1
"60","Health",1
"61","Health & Medicine",1
"62","High Point (N.C.)",1
"63","Higher education - Virginia.",1
"64","Hospitals",1
"65","Housing Insecurity",1
"66","Humanitarianism",1
"67","KS",1
"68","Las Vegas Valley (Nev.)",1
"69","Local Government",1
"70","Local government--United States",1
"71","Medical",1
"72","Middle East respiratory syndrome coronavirus (MERS-CoV)",1
"73","Migrant agricultural laborers",1
"74","Monkeypox",1
"75","National Health Emergency",1
"76","Non-governmental organizations",1
"77","Outbreaks of Disease",1
"78","Pandemic Response",1
"79","Pennsylvania",1
"80","Public Schools - Virginia",1
"81","Public health",1
"82","Quarantine",1
"83","Randolph County (N.C.)",1
"84","Rhode Island",1
"85","Rockingham County (N.C.)",1
"86","Rogers (Ark.)",1
"87","Schools",1
"88","Science & Health",1
"89","Social distance",1
"90","Society & Culture",1
"91","Springdale (Ark.)",1
"92","Stokes County (N.C.)",1
"93","Surry County (N.C.)",1
"94","Universities and colleges",1
"95","University events",1
"96","University of North Carolina at Greensboro",1
"97","University towns",1
"98","Urban agriculture -- Pennsylvania -- Philadelphia",1
"99","Urban gardening -- Pennsylvania -- Philadelphia",1
"100","Vancouver Island",1
"101","Virginia. Dept. of Education.",1
"102","Virginia. Governor (2018-2022 : Northam)",1
"103","Virus diseases",1
"104","Web sites",1
"105","Western Michigan University",1
"106","Winston-Salem (N.C.)",1
"107","Yadkin County (N.C.)",1
"108","Zika Virus",1
"109","covid-19",1
"110","hemorrhagic fever",1
"111","miami county",1
"112","ohio",1
"113","public health",1
